anime_id,name,genre__Action,genre__Adventure,genre__Cars,genre__Comedy,genre__Dementia,genre__Demons,genre__Drama,genre__Ecchi,genre__Fantasy,genre__Game,genre__Harem,genre__Hentai,genre__Historical,genre__Horror,genre__Josei,genre__Kids,genre__Magic,genre__Martial Arts,genre__Mecha,genre__Military,genre__Music,genre__Mystery,genre__Parody,genre__Police,genre__Psychological,genre__Romance,genre__Samurai,genre__School,genre__Sci-Fi,genre__Seinen,genre__Shoujo,genre__Shoujo Ai,genre__Shounen,genre__Shounen Ai,genre__Slice of Life,genre__Space,genre__Sports,genre__Super Power,genre__Supernatural,genre__Thriller,genre__Vampire,genre__Yaoi,genre__Yuri,rating_norm,members_norm
32281,Kimi no Na wa.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.924369748,0.197872202
5114,Fullmetal Alchemist: Brotherhood,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.911164466,0.782770102
28977,Gintama°,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.909963986,0.112689267
9253,Steins;Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.900360144,0.664324912
9969,Gintama&#039;,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.899159664,0.149185531
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.897959184,0.092065189
11061,Hunter x Hunter (2011),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.895558223,0.420006865
820,Ginga Eiyuu Densetsu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.893157263,0.079567063
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.891956783,0.071533821
15417,Gintama&#039;: Enchousen,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.893157263,0.079991163
